Taxa	Yield	Protein	Heading	Height	TW	NDVI	NDRE1	NWI1	NWI2
HR17035-1W	32.69311468	15.24382708	168.8483427	22.28031265	58.92411294	0.453492294	-0.105214006	-0.034683863	0.013506974
HR17040-1	32.69311468	14.24382708	158.8483427	24.28031265	58.52411294	0.425384676	-0.112159578	-0.027581497	0.019174502
HR17040-2	28.69311468	12.84382708	168.8483427	28.28031265	61.12411294	0.398476842	-0.135614576	-0.018956875	0.019152906
HR17040-4	32.69311468	13.04382708	164.8483427	32.28031265	60.12411294	0.37504972	-0.129084174	-0.012578297	0.035564754
HR17040-5	30.69311468	13.04382708	164.8483427	24.28031265	60.12411294	0.386884266	-0.125631192	-0.015908371	0.024452394
HR17041-1	38.69311468	17.24382708	170.8483427	24.28031265	57.92411294	0.470149588	-0.088195462	-0.039991179	0.006754774
HR17041-2	38.69311468	16.24382708	168.8483427	20.28031265	61.52411294	0.505368464	-0.077144608	-0.046928439	0.002030424
HR17041-3	30.69311468	15.24382708	166.8483427	26.28031265	57.32411294	0.436169632	-0.105217598	-0.028523461	0.019557868
HR17041-5	48.69311468	14.84382708	164.8483427	28.28031265	56.72411294	0.546078024	-0.055228028	-0.057659517	-0.00145668
HR17041-7	44.69311468	15.04382708	166.8483427	28.28031265	57.12411294	0.54613655	-0.058135834	-0.059998753	-0.006720102
HR17042-1	42.69311468	14.24382708	164.8483427	32.28031265	55.32411294	0.53575439	-0.065855366	-0.056273701	-0.005333152
HR17042-10W	39.5827111	15.03486454	165.380881	28.18052309	55.48649664	0.502522367	-0.075623318	-0.047086038	0.006170078
HR17042-11	41.5827111	14.43486454	165.380881	30.18052309	56.08649664	0.528204377	-0.076241928	-0.050835534	0.000734002
HR17042-2	44.69311468	16.84382708	160.8483427	32.28031265	59.52411294	0.503404962	-0.077845256	-0.050347639	-0.00233707
HR17042-3	36.69311468	13.24382708	160.8483427	30.28031265	52.52411294	0.519904856	-0.077040968	-0.055321319	-0.011513182
HR17042-4	38.69311468	12.44382708	160.8483427	34.28031265	53.72411294	0.466387404	-0.104428598	-0.037910879	0.006482578
HR17042-5	38.69311468	13.04382708	158.8483427	26.28031265	58.72411294	0.46255525	-0.097349546	-0.040366183	0.001761482
HR17042-6	38.69311468	16.24382708	164.8483427	26.28031265	48.72411294	0.579527136	-0.044523268	-0.067723047	-0.008332112
HR17042-7	33.5827111	13.23486454	165.380881	30.18052309	54.08649664	0.506847395	-0.08177133	-0.046910572	0.001742938
HR17042-8	35.5827111	14.83486454	165.380881	30.18052309	51.48649664	0.531608205	-0.067612378	-0.058665666	-0.004813054
HR17042-9	39.5827111	15.43486454	163.380881	34.18052309	59.48649664	0.557963603	-0.072296614	-0.057217962	-0.010973502
